stop1,stop2
,1010424
1010424.0,1010425
1010425.0,1010427
1010427.0,1010428
1010428.0,1020105
1020105.0,1020106
1020106.0,1020113
1020113.0,1020116
1020116.0,1020117
1020117.0,1020119
1020119.0,1020120
1020120.0,1020122
1020122.0,1020123
1020123.0,1020130
1020130.0,1020131
1020131.0,1020132
1020132.0,1020169
1020169.0,1020182
1020182.0,1020201
1020201.0,1020401
1020401.0,1020443
1020443.0,1020444
1020444.0,1020448
1020448.0,1020449
1020449.0,1020450
1020450.0,1020453
1020453.0,1020454
1020454.0,1020457
1020457.0,1020459
1020459.0,1020464
1020464.0,1020501
1020501.0,1020502
1020502.0,1020503
1020503.0,1020552
1020552.0,1030428
1030428.0,1040124
1040124.0,1040130
1040130.0,1040144
1040144.0,1040148
1040148.0,1040153
1040153.0,1040273
1040273.0,1040274
1040274.0,1040278
1040278.0,1040280
1040280.0,1040281
1040281.0,1040284
1040284.0,1040289
1040289.0,1040401
1040401.0,1040404
1040404.0,1040405
1040405.0,1040408
1040408.0,1040409
1040409.0,1040437
1040437.0,1040438
1040438.0,1050105
1050105.0,1050108
1050108.0,1050110
1050110.0,1050415
1050415.0,1050416
1050416.0,1050417
1050417.0,1050432
1050432.0,1060104
1060104.0,1060129
1060129.0,1060404
1060404.0,1070417
1070417.0,1070418
1070418.0,1070422
1070422.0,1070424
1070424.0,1070425
1070425.0,1080403
1080403.0,1080405
1080405.0,1090415
1090415.0,1090416
1090416.0,1100102
1100102.0,1100105
1100105.0,1100106
1100106.0,1100110
1100110.0,1100121
1100121.0,1100125
1100125.0,1100133
1100133.0,1100403
1100403.0,1100404
1100404.0,1100408
1100408.0,1100411
1100411.0,1111116
1111116.0,1111142
1111142.0,1111146
1111146.0,1111204
1111204.0,1111205
1111205.0,1111427
1111427.0,1111428
1111428.0,1111431
1111431.0,1112122
1112122.0,1112126
1112126.0,1112153
1112153.0,1112434
1112434.0,1113131
1113131.0,1113140
1113140.0,1113433
1113433.0,1113434
1113434.0,1113480
1113480.0,1121124
1121124.0,1121130
1121130.0,1121404
1121404.0,1121405
1121405.0,1121406
1121406.0,1121437
1121437.0,1121438
1121438.0,1121439
1121439.0,1121446
1121446.0,1121449
1121449.0,1121480
1121480.0,1121482
1121482.0,1122102
1122102.0,1122110
1122110.0,1122113
1122113.0,1122134
1122134.0,1122400
1122400.0,1122416
1122416.0,1122441
1122441.0,1122447
1122447.0,1130103
1130103.0,1130104
1130104.0,1130107
1130107.0,1130110
1130110.0,1130139
1130139.0,1130433
1130433.0,1130434
1130434.0,1130435
1130435.0,1130438
1130438.0,1130439
1130439.0,1130441
1130441.0,1140102
1140102.0,1140103
1140103.0,1140104
1140104.0,1140106
1140106.0,1140112
1140112.0,1140117
1140117.0,1140118
1140118.0,1140122
1140122.0,1140127
1140127.0,1140133
1140133.0,1140196
1140196.0,1140401
1140401.0,1140402
1140402.0,1140447
1140447.0,1140450
1140450.0,1140452
1140452.0,1150101
1150101.0,1150102
1150102.0,1150107
1150107.0,1150108
1150108.0,1150109
1150109.0,1150110
1150110.0,1150111
1150111.0,1150112
1150112.0,1150114
1150114.0,1150116
1150116.0,1150119
1150119.0,1150133
1150133.0,1150134
1150134.0,1150299
1150299.0,1150401
1150401.0,1150431
1150431.0,1150432
1150432.0,1150433
1150433.0,1160101
1160101.0,1160104
1160104.0,1160107
1160107.0,1160109
1160109.0,1160118
1160118.0,1160202
1160202.0,1160206
1160206.0,1160401
1160401.0,1160404
1160404.0,1171122
1171122.0,1171151
1171151.0,1171152
1171152.0,1171158
1171158.0,1171401
1171401.0,1171402
1171402.0,1171405
1171405.0,1171409
1171409.0,1171411
1171411.0,1171416
1171416.0,1171442
1171442.0,1171444
1171444.0,1171445
1171445.0,1171457
1171457.0,1172114
1172114.0,1172143
1172143.0,1172144
1172144.0,1172145
1172145.0,1172146
1172146.0,1173101
1173101.0,1173106
1173106.0,1173108
1173108.0,1173111
1173111.0,1173112
1173112.0,1173113
1173113.0,1173133
1173133.0,1173423
1173423.0,1173424
1173424.0,1173429
1173429.0,1173430
1173430.0,1173434
1173434.0,1174102
1174102.0,1174128
1174128.0,1174147
1174147.0,1174402
1174402.0,1174411
1174411.0,1174502
1174502.0,1174504
1174504.0,1174551
1174551.0,1174552
1174552.0,1180103
1180103.0,1180115
1180115.0,1180121
1180121.0,1180203
1180203.0,1180206
1180206.0,1180214
1180214.0,1180437
1180437.0,1180440
1180440.0,1180442
1180442.0,1180443
1180443.0,1201107
1201107.0,1201110
1201110.0,1201126
1201126.0,1201127
1201127.0,1201128
