vehicle_id,vehicle_latitude,vehicle_longitude
1003,60.216556,24.755698
1019,60.154667,24.67632
26,60.296272,24.938055
991,60.162796,24.774554
211,60.404175,25.104644
1053,60.18116,24.845706
1926,60.17474,24.801499
1052,60.217131,24.769414
1093,60.1771,24.949987
1218,60.238891,24.708228
1362,60.164685,25.060598
694,60.250874,25.210585
1032,60.20295,24.9303
405,60.15234,24.910809
439,60.169171,24.949221
12,60.263311,24.856279
1825,60.175015,24.922162
1022,60.193392,24.743976
1402,60.200412,24.664601
1090,60.26963,25.064529
1068,60.181816,24.938022
278,60.135097,24.66956
278,60.135018,24.669311
1022,60.199058,24.745978
1831,60.194021,24.957679
1833,60.261216,24.965346
1216,60.204933,24.662004
1081,60.181833,24.955489
1117,60.214411,24.884211
1159,60.165387,24.745226
1008,60.305813,25.050741
1162,60.195474,24.930004
447,60.191156,24.909101
447,60.191169,24.91026
1085,60.17749,24.951779
1099,60.161539,24.697329
1099,60.161781,24.698808
480,60.223945,24.707642
928,60.317857,24.86897
1165,60.253286,24.827766
480,60.22394,24.708316
249,60.383234,25.025753
1025,60.139946,24.547244
1250,60.176187,24.931147
925,60.186338,24.961334
1025,60.139125,24.542912
121,60.170979,24.937051
1098,60.231746,24.934113
1274,60.217045,24.899752
1265,60.199323,24.883631
1003,60.18943,24.955737
480,60.224504,24.722086
457,60.179405,24.9503
1358,60.167032,25.019914
1330,60.354088,25.137164
1052,60.217134,24.764245
1096,60.141127,24.664541
1212,60.177949,24.949935
1519,60.269929,24.852334
1030,60.191346,24.906239
1019,60.181961,24.938707
1218,60.240226,24.70965
1519,60.269803,24.846806
1031,60.175213,24.939604
1832,60.230193,24.942601
463,60.326986,24.717243
463,60.326423,24.716757
414,60.203934,24.965557
694,60.250339,25.213821
12,60.263827,24.856838
258,60.155386,24.641257
1022,60.189987,24.74792
1079,60.17931,24.93903
1117,60.215361,24.883652
1083,60.20015,24.944874
1116,60.269625,24.841535
1116,60.269631,24.841856
1216,60.204533,24.661406
1081,60.181831,24.955482
421,60.200358,24.949866
258,60.154382,24.646819
1017,60.09009,24.3863
292,60.178446,24.949984
1005,60.221304,24.909476
1005,60.222853,24.909062
1372,60.234894,25.019976
1099,60.159344,24.691847
1033,60.302686,25.049271
623,60.213378,25.059451
1033,60.302651,25.049257
1008,60.303288,25.049609
1008,60.161622,24.73999
1008,60.303287,25.049611
1162,60.195957,24.929252
1820,60.171431,24.943193
1168,60.286382,24.957812
665,60.185932,25.004531
226,60.207729,24.97445
444,60.219839,24.807722
1404,60.19131,24.906645
1168,60.285578,24.96162
662,60.254573,24.81421
19,60.253676,24.99401
1348,60.174766,25.041519
1348,60.174825,25.042096
1348,60.175054,25.044343
624,60.201647,24.963854
211,60.404352,25.10405
466,60.325011,25.02558
1057,60.185212,24.937132
1068,60.1912,24.941354
1045,60.188611,24.598243
1019,60.183127,24.938161
1031,60.174115,24.939709
1019,60.180493,24.939303
258,60.155319,24.640157
1117,60.21772,24.88216
415,60.206876,24.973782
1022,60.188592,24.750999
1022,60.189135,24.749499
1825,60.174005,24.922394
262,60.207385,24.660926
1831,60.195292,24.954964
1090,60.270033,25.061594
1090,60.269992,25.061766
470,60.429862,25.116253
1402,60.200331,24.663425
415,60.206908,24.974999
1116,60.269539,24.840587
667,60.187637,24.971932
1068,60.176775,24.940027
949,60.163459,24.666239
292,60.178295,24.949944
1005,60.222289,24.909266
292,60.177783,24.950009
1005,60.227598,24.906961
1375,60.193071,25.035687
2422,60.353383,25.05708
1008,60.303282,25.049602
1008,60.303289,25.049608
20,60.237603,24.975659
662,60.254814,24.824688
249,60.382332,25.025593
249,60.383001,25.025734
2234,60.301021,25.114783
1168,60.285325,24.962084
925,60.184793,24.960518
457,60.178732,24.950425
946,60.148398,24.641985
423,60.196422,24.943592
457,60.17985,24.950314
1053,60.181391,24.847538
466,60.324584,25.025653
474,60.33059,25.06137
1804,60.188981,24.963994
1519,60.269988,24.852866
1113,60.234508,25.032642
694,60.251067,25.208887
1701,60.249344,24.934583
1075,60.18974,24.601383
1096,60.139627,24.659382
694,60.249898,25.218215
405,60.151645,24.911857
1539,60.261263,24.80669
1020,60.161285,24.740006
1020,60.161161,24.740103
405,60.150885,24.914002
256,60.167628,24.616227
1022,60.192052,24.745165
1022,60.195645,24.743569
927,60.221215,24.861974
1216,60.205396,24.661648
1116,60.269631,24.841947
1068,60.241039,24.742487
1068,60.177283,24.939833
12,60.261666,24.856412
667,60.187052,24.97756
1008,60.308031,25.05169
97,60.194837,24.945734
1535,60.198856,24.961585
623,60.214798,25.058594
1017,60.224132,24.704708
1017,60.224085,24.703232
1372,60.233944,25.015142
638,60.159883,24.78991
1017,60.091783,24.3917
1017,60.223513,24.693546
1059,60.242845,24.994878
226,60.208101,24.974722
1165,60.254353,24.824524
1407,60.185447,24.937476
249,60.38347,25.025753
1250,60.175061,24.932321
925,60.18623,24.961339
6301,60.215474,24.938205
1168,60.285445,24.961859
15,60.275879,24.749865
1052,60.216485,24.755502
1435,60.238991,25.067316
1003,60.21696,24.758543
466,60.324509,25.026077
466,60.324509,25.025863
1019,60.187964,24.935807
1019,60.185485,24.936948
414,60.204817,24.966291
1701,60.249627,24.937988
1045,60.189677,24.601258
414,60.204197,24.965805
1212,60.175541,24.950153
1031,60.175559,24.939601
405,60.152488,24.910612
1064,60.205669,24.925486
927,60.220108,24.862553
1064,60.214428,24.907038
1032,60.213933,24.908626
407,60.192355,24.929047
407,60.191607,24.925604
439,60.169129,24.949953
1539,60.258603,24.808434
1205,60.230245,25.009028
262,60.206384,24.66043
1020,60.160758,24.740378
1108,60.204751,24.964446
1079,60.178689,24.939269
1205,60.230161,25.007415
1526,60.286081,24.986729
97,60.194441,24.945331
667,60.187626,24.972198
1079,60.176254,24.940125
97,60.194442,24.94536
1008,60.161377,24.740168
1008,60.303285,25.049603
1375,60.192625,25.037392
2422,60.353227,25.058638
935,60.207935,24.898599
1410,60.227661,25.00281
447,60.191162,24.91036
2234,60.300588,25.112963
1085,60.178105,24.951651
121,60.170406,24.937846
470,60.170827,24.945618
226,60.205849,24.972416
424,60.211606,24.821571
665,60.186116,25.007103
1085,60.178937,24.950609
662,60.254445,24.815174
1404,60.191349,24.903269
483,60.136228,24.673195
19,60.253429,24.993929
1213,60.196497,24.962658
3,60.276398,24.856334
1053,60.181242,24.846347
1033,60.174876,24.737839
2260,60.216596,25.096884
2260,60.216554,25.096664
9,60.199943,24.933946
1218,60.238782,24.707307
454,60.203006,24.964997
1096,60.140449,24.661329
1031,60.173472,24.939836
1057,60.180522,24.939334
421,60.20075,24.945129
1051,60.206283,24.753585
1090,60.269762,25.067179
1051,60.206027,24.749768
415,60.206927,24.974805
421,60.200738,24.948477
965,60.215146,24.917476
1277,60.206222,24.880213
1033,60.308837,25.051988
935,60.208813,24.890969
1402,60.202737,24.662267
1081,60.182113,24.956258
421,60.200688,24.952718
258,60.154362,24.64689
638,60.159576,24.789756
1277,60.207627,24.879633
249,60.378548,25.022892
292,60.173956,24.949551
1375,60.190236,25.039901
1405,60.203097,24.774889
2422,60.353676,25.055658
665,60.185966,25.003131
1111,60.24813,24.837606
943,60.198495,24.940447
249,60.383117,25.025745
444,60.220546,24.807989
1407,60.18572,24.939354
2406,60.22836,25.068126
457,60.17901,24.950406
1348,60.174701,25.040826
946,60.149092,24.64297
121,60.17013,24.938266
1301,60.229166,25.012553
418,60.166747,24.943347
466,60.324517,25.027619
1362,60.164533,25.061815
1003,60.217158,24.762738
1003,60.21717,24.766725
97,60.192485,24.944962
466,60.325679,25.025234
1075,60.185727,24.588904
414,60.205305,24.966589
1019,60.184453,24.937444
1096,60.14027,24.660824
1212,60.176219,24.950102
466,60.326878,25.024631
1832,60.230347,24.942552
1832,60.230304,24.942558
1053,60.179778,24.834717
1096,60.1413,24.6568
1831,60.19531,24.954917
1833,60.258034,24.960172
421,60.2007,24.944644
2258,60.236556,25.087016
1064,60.207118,24.92269
256,60.167202,24.617131
407,60.192577,24.929186
1831,60.195283,24.954987
1402,60.200343,24.664392
1068,60.1813,24.93819
1539,60.260149,24.807416
1205,60.230222,25.008276
1083,60.200906,24.944604
