trip_id,route_id,start_time,start_date,direction,total_stops
,2554,2025-01-31 18:54:00,2025-01-30,1,41
,4717,2025-01-31 18:45:00,2025-01-30,2,47
,1059,2025-01-31 19:03:00,2025-01-30,1,37
,5530,2025-01-31 19:06:00,2025-01-30,1,35
,1094A,2025-01-31 19:15:00,2025-01-30,1,17
,4560,2025-01-31 18:40:00,2025-01-30,2,41
,3002P,2025-01-31 18:38:00,2025-01-30,1,26
,4600,2025-01-31 18:35:00,2025-01-30,2,25
,2111,2025-01-31 18:57:00,2025-01-30,2,33
,1082,2025-01-31 19:15:00,2025-01-30,1,13
,3001I,2025-01-31 19:06:00,2025-01-30,1,25
,1003,2025-01-31 19:08:00,2025-01-30,1,32
,2533,2025-01-31 18:51:00,2025-01-30,1,48
,1008,2025-01-31 19:14:00,2025-01-30,2,25
,4562,2025-01-31 19:12:00,2025-01-30,2,43
,1020,2025-01-31 18:56:00,2025-01-30,2,26
,9643K,2025-01-31 18:30:00,2025-01-30,1,43
,1016,2025-01-31 19:14:00,2025-01-30,2,22
,5530,2025-01-31 19:11:00,2025-01-30,2,36
,1023,2025-01-31 18:48:00,2025-01-30,1,35
,4718,2025-01-31 19:05:00,2025-01-30,1,22
,9977,2025-01-31 19:04:00,2025-01-30,2,13
,2163,2025-01-31 18:31:00,2025-01-30,1,47
,6173Z,2025-01-31 19:00:00,2025-01-30,2,53
,1064,2025-01-31 18:56:00,2025-01-30,2,25
,1002,2025-01-31 18:46:00,2025-01-30,1,25
,4561,2025-01-31 19:08:00,2025-01-30,2,60
,1042,2025-01-31 19:01:00,2025-01-30,2,27
,4624,2025-01-31 19:06:00,2025-01-30,2,41
,2158,2025-01-31 19:01:00,2025-01-30,1,39
,2502,2025-01-31 18:47:00,2025-01-30,2,22
,1085,2025-01-31 19:13:00,2025-01-30,2,16
,1055,2025-01-31 19:10:00,2025-01-30,2,22
,5520,2025-01-31 18:40:00,2025-01-30,2,37
,2544,2025-01-31 18:44:00,2025-01-30,1,39
,1059,2025-01-31 18:39:00,2025-01-30,1,37
,2533,2025-01-31 18:54:00,2025-01-30,2,44
,2542,2025-01-31 18:36:00,2025-01-30,2,47
,2582,2025-01-31 19:03:00,2025-01-30,1,40
,1009,2025-01-31 18:31:00,2025-01-30,2,27
,1003,2025-01-31 18:48:00,2025-01-30,2,31
,2015,2025-01-31 19:09:00,2025-01-30,2,34
,4574,2025-01-31 18:53:00,2025-01-30,2,65
,2510,2025-01-31 19:04:00,2025-01-30,2,37
,4561,2025-01-31 18:47:00,2025-01-30,2,60
,1061,2025-01-31 18:53:00,2025-01-30,2,35
,1500,2025-01-31 18:42:00,2025-01-30,1,28
,1069,2025-01-31 18:40:00,2025-01-30,2,66
,2502,2025-01-31 18:47:00,2025-01-30,1,22
,2162,2025-01-31 18:53:00,2025-01-30,2,24
,1007,2025-01-31 18:43:00,2025-01-30,2,31
,1007,2025-01-31 19:18:00,2025-01-30,2,31
,5520,2025-01-31 18:50:00,2025-01-30,2,37
,2502,2025-01-31 18:47:00,2025-01-30,2,23
,1054,2025-01-31 19:26:00,2025-01-30,2,1
,2549,2025-01-31 18:48:00,2025-01-30,1,29
,1095,2025-01-31 19:11:00,2025-01-30,1,25
,1074,2025-01-31 19:04:00,2025-01-30,1,40
,1002,2025-01-31 18:46:00,2025-01-30,1,27
,1021,2025-01-31 19:11:00,2025-01-30,2,16
,2542,2025-01-31 19:07:00,2025-01-30,2,47
,1500,2025-01-31 18:54:00,2025-01-30,1,28
,1074,2025-01-31 18:44:00,2025-01-30,1,40
,4300,2025-01-31 19:01:00,2025-01-30,2,29
,4600,2025-01-31 18:45:00,2025-01-30,2,25
,1831K,2025-01-31 18:50:00,2025-01-30,1,29
