vehicle_id,vehicle_type,operator,line,speed,occupancy
1338,bus,12,90,7.89,0
1701,bus,12,79,8.62,0
439,tram,40,30,5.2,0
1113,bus,6,964,8.01,0
16,bus,17,100,10.03,0
1212,bus,12,824,0.37,0
979,bus,22,657,2.88,0
979,bus,22,657,3.96,0
1096,bus,22,1039,7.96,0
466,bus,6,1042,10.93,0
1701,bus,12,79,4.34,0
10,bus,17,140,2.21,0
694,bus,6,1094,10.8,0
1287,bus,22,259,2.66,0
12,bus,12,771,7.03,0
421,tram,40,1145,3.34,0
949,bus,22,237,6.33,0
415,tram,40,34,2.88,0
103,tram,40,40,5.25,0
1068,train,90,292,6.69,0
638,bus,6,221,0.51,0
121,tram,40,40,2.98,0
2234,bus,12,810,0.1,0
925,bus,22,94,1.34,0
15,bus,17,1096,3.91,0
3,bus,17,1095,3.17,0
979,bus,22,657,5.86,0
1045,train,90,292,0.0,0
1199,bus,22,109,8.08,0
1064,train,90,292,28.55,0
1090,bus,6,102,10.2,0
1216,bus,22,945,6.61,0
1216,bus,22,945,4.79,0
1526,bus,12,785,13.66,0
623,tram,40,1142,10.92,0
1277,bus,22,59,3.83,0
1085,bus,6,86,5.32,0
444,bus,6,911,6.47,0
665,bus,47,44,5.23,0
443,tram,40,32,6.21,0
26,bus,17,1096,18.08,0
211,bus,6,759,4.77,0
1519,bus,12,1109,4.47,0
1075,train,90,292,25.41,0
1417,bus,22,73,7.42,0
1045,train,90,292,22.07,0
1096,bus,22,1039,8.45,0
256,bus,6,239,5.33,0
1093,bus,6,349,3.86,0
1519,bus,12,1109,3.42,0
1701,bus,12,79,5.86,0
71,bus,17,98,6.57,0
1287,bus,22,259,4.48,0
927,bus,6,77,0.36,0
97,tram,40,30,6.53,0
1022,bus,22,259,21.46,0
103,tram,40,40,7.36,0
12,bus,12,771,9.23,0
97,tram,40,30,7.31,0
1831,bus,12,1113,9.77,0
1081,bus,6,80,6.82,0
1162,bus,22,1072,4.18,0
121,tram,40,40,4.48,0
1099,bus,22,860,10.91,0
1404,bus,22,624,1.21,0
1111,bus,22,1108,17.34,0
1404,bus,22,624,8.44,0
444,bus,6,911,4.06,0
1348,bus,22,123,8.64,0
1519,bus,12,1109,7.01,0
694,bus,6,1094,11.83,0
1022,bus,22,259,20.65,0
1090,bus,6,102,10.34,0
1051,bus,6,1110,15.18,0
421,tram,40,1145,10.34,0
249,bus,6,1041,15.9,0
1168,bus,22,786,3.19,0
226,bus,6,72,8.92,0
665,bus,47,44,5.59,0
665,bus,47,44,2.28,0
1346,bus,22,113,8.23,0
2222,bus,12,809,0.67,0
479,bus,6,942,9.21,0
1832,bus,12,1113,18.05,0
463,bus,6,935,12.14,0
1057,train,90,636,11.83,0
1030,bus,6,581,1.85,0
1832,bus,12,1113,18.37,0
1053,bus,22,68,13.2,0
1045,train,90,292,21.5,0
1096,bus,22,1039,8.02,0
1045,train,90,292,0.46,0
1053,bus,22,68,4.76,0
454,tram,40,38,9.26,0
1526,bus,12,785,0.07,0
258,bus,6,1111,5.83,0
1022,bus,22,259,7.6,0
405,tram,40,39,4.94,0
1090,bus,6,102,7.48,0
278,bus,6,866,9.86,0
1022,bus,22,259,21.21,0
1287,bus,22,259,8.03,0
1079,train,90,292,8.75,0
1116,bus,22,1108,6.04,0
1033,train,90,636,21.14,0
1008,train,90,636,15.74,0
103,tram,40,40,3.45,0
943,bus,6,77,6.67,0
1162,bus,22,1072,7.56,0
226,bus,6,72,0.03,0
1059,train,90,279,16.82,0
1407,bus,22,624,5.82,0
1025,bus,6,678,21.53,0
2234,bus,12,810,6.74,0
226,bus,6,72,8.12,0
1098,bus,6,86,10.58,0
443,tram,40,32,0.58,0
474,bus,6,459,3.47,0
466,bus,6,1042,9.06,0
1090,bus,6,102,11.19,0
1216,bus,22,945,9.92,0
638,bus,6,221,6.48,0
1008,train,90,636,6.69,0
1099,bus,22,860,5.45,0
20,bus,12,90,5.65,0
1165,bus,22,1108,0.1,0
986,bus,6,1112,5.33,0
1168,bus,22,786,7.0,0
1404,bus,22,624,8.24,0
483,bus,6,866,5.21,0
1701,bus,12,79,8.92,0
6324,train,90,286,0.02,0
1804,bus,12,354,8.37,0
1019,train,90,636,11.73,0
1019,train,90,636,11.68,0
979,bus,22,657,2.62,0
1064,train,90,292,15.95,0
12,bus,12,771,9.3,0
256,bus,6,239,6.31,0
1538,bus,12,226,8.06,0
1833,bus,12,743,16.47,0
667,bus,47,44,5.23,0
1526,bus,12,785,11.76,0
935,bus,6,77,16.29,0
1017,bus,6,678,11.73,0
1159,bus,22,1072,13.88,0
949,bus,22,237,4.97,0
1017,bus,22,875,13.59,0
1033,train,90,636,18.93,0
249,bus,6,1041,11.32,0
627,bus,6,1107,5.3,0
1017,bus,6,678,11.88,0
1085,bus,6,86,5.92,0
1168,bus,22,786,4.53,0
1056,bus,6,56,2.32,0
2234,bus,12,810,6.84,0
1250,bus,22,62,7.35,0
1085,bus,6,86,3.52,0
483,bus,6,866,6.66,0
2248,bus,12,138,4.63,0
3,bus,17,1095,3.32,0
466,bus,6,1042,8.98,0
1075,train,90,292,13.17,0
1045,train,90,292,9.41,0
1019,train,90,636,10.24,0
1096,bus,22,1039,12.52,0
97,tram,40,30,4.12,0
1538,bus,12,226,7.52,0
407,tram,40,992,9.93,0
1205,bus,22,94,0.05,0
1068,train,90,292,5.56,0
1116,bus,22,1108,11.83,0
1008,bus,6,1110,4.52,0
928,bus,22,786,9.7,0
1404,bus,22,624,9.64,0
1301,bus,12,824,5.5,0
479,bus,6,942,9.26,0
1003,train,90,288,0.93,0
97,tram,40,30,8.64,0
1519,bus,12,1109,1.16,0
1409,bus,22,68,8.61,0
1212,bus,12,824,7.11,0
1536,bus,12,857,0.02,0
1113,bus,6,964,7.27,0
1212,bus,12,824,4.81,0
1833,bus,12,743,15.16,0
949,bus,22,237,7.63,0
405,tram,40,39,8.8,0
1064,train,90,292,25.46,0
1090,bus,6,102,6.47,0
1017,bus,6,678,10.87,0
1008,train,90,636,21.14,0
1051,bus,6,1110,14.4,0
2422,bus,12,783,6.12,0
458,tram,40,32,2.31,0
458,tram,40,32,6.38,0
628,tram,40,1142,9.75,0
1407,bus,22,624,3.48,0
457,tram,40,34,4.89,0
415,bus,6,753,3.25,0
423,tram,40,39,5.09,0
1214,bus,12,360,2.13,0
1330,bus,12,810,9.22,0
1519,bus,12,1109,9.75,0
1526,bus,12,785,9.48,0
415,tram,40,34,0.72,0
667,bus,47,44,13.5,0
1833,bus,12,743,15.05,0
1017,bus,22,875,2.81,0
1017,bus,6,678,11.23,0
1017,bus,22,875,8.73,0
1099,bus,22,860,10.34,0
2234,bus,12,810,4.63,0
480,bus,6,942,12.45,0
1330,bus,12,810,8.75,0
479,bus,6,942,8.64,0
1052,train,90,288,11.21,0
1057,train,90,636,15.23,0
414,bus,6,102,0.0,0
1057,train,90,636,13.53,0
